"id","nombre_publicacion","descripcion"
1160,Introducción a la asignatura,
1161,Bienvenido (MKT-07-UNICA Referral Marketing),
1162,?Bienvenido!,
1163,Plan de Marketing Digital,
1164,Introducción a la Asignatura (FNZ-UNICA Gestión de Riesgos),
1165,Inicio de asignatura (MKT-13-UNICA Programmatic Advertising),
1166,Introducción a la asignatura,
1167,Bienvenido (CPL-UNI-V1 Cultura Etica Corporativa y Múltiple Jurisdiccionalidad B-I),
1168,Introducción Asignatura,""
1169,Introducción a la Asignatura (MKT-11-UNICA V3 Social Media Organic),
1170,Inicio de asignatura,
1171,Introducción a la Asignatura (MKT-SEO-SEM-V3 UNICA - Facebook Ads),
1172,Introducción a la Asignatura (FNZ-14-UNICA - Finanzas para la Internacionalización),
1173,Inicio de asignatura (FNZ-13-UNICA - Marketing Digital Internacional Financiero),
1174,Introducción a la Asignatura (FNZ-UNICA Presupuesto y Control de Gestión),
1175,Introducción a la asignatura,
1176,Introducción a la asignatura,
1177,Inicio de asignatura (FNZ-UNICA Métodos Cuantitativos para Pronóstico Financiero),
1178,Introducción a la asignatura,
1179,Introducción a la Asignatura,""
1180,Introducción a la Asignatura (MBA-A1-UNICA Gestión Organizacional y RR.HH.),
1181,Módulo Introductorio (LCI -UNICA- MODULO 0 1B V2 (OL)),
1182,Módulo Introductorio (MCD -UNICA- MODULO 0 1B V2 (OL)),
1183,Graduación(Executive MBA - UNICA Solicitud de Graduación),
1184,Graduación(Global MBA - UNIQUE Graduation Application),
1185,Graduación(MSC MSM - UNICA Solicitud de Graduación),
1186,Graduación(MSC HC - UNICA Solicitud de Graduación),
1187,Introducción a la asignatura,
1188,Bloque inicial,
1189,Introducción Asignatura (MKT-UNICA Plan de Marketing Digital (Business Plan)),
1190,Bienvenido (CPL-UNI Rol de Compliance Officer. Canal de Denuncias),
1191,Bienvenido (CPL-UNI Programa de compliance. Elementos. Estándares internacionales. Auditorías),
1192,Bienvenido (CPL-UNI Derecho Penal de la Persona Jurídica),
1193,Bienvenido,
1194,Bienvenido (CPL-UNI Antecedentes de Compliance),
1195,Inicio de Asignatura,
1196,Introducción a la asignatura (Habilidades Gerenciales),
1197,Introducción a la Asignatura (MBA-UNICA - Dirección de Equipos de Alto Rendimiento),
1198,Introducción Asignatura (MBA-UNICA - Negociación y Resolución de Conflictos),
1199,Introducción a la Asignatura (MBA-UNICA - Fundamentos del Coaching Ejecutivo),
1200,Introducción Asignatura (MBA-UNICA - Finanzas y Economía),
1201,Introducción asignatura (MBA-UNICA - Estrategia Corporativa y Desarrollo de Negocios),
1202,Introducción a la Asignatura (MBA-UNICA - Gestión Organizacional y RRHH),
1203,Bloque inicial,
1204,Inicio de asignatura (MKT-UNICA Analítica Web V2),
1205,Bienvenido (DBM-02-UNICA RRHH. Talento y cultura digital. Agile Management V2),
1206,Introducción a la Asignatura (DBM-14-UNICA Business Intelligence),
1207,Introducción Asignatura (DBM-03-UNICA Procesos Operacionales y Tecnología V2),
1208,Introducción a la Asignatura (DBM-12-UNICA Digital Marketing Advance),
1209,Introducción a la Asignatura (TR-06-UNICA Business Plan),
1210,Introducción a la Asignatura (TR-PRESENCIAL - UNICA - Business Plan),
1211,Introducción a la Asignatura,
1212,INTRODUCCIÓN (2B OL 2020 TR - Comunicación Organizacional 2020),
1213,Introducción a la Asignatura (NIV-PRESENCIAL - UNICA - Finanzas para No Financieros),
1214,Bienvenido (NIV-PRESENCIAL - UNICA - Fundamentos de Finanzas),
1215,Introducción a la asignatura,
1216,Inicio de asignatura,
1217,Introducción a la Asignatura (TR-05-UNICA Innovación),
1218,Inicio de asignatura,
1219,Inicio de asignatura,
1220,Introducción a la Asignatura,
1221,Mensaje de bienvenida (Asignatura de inicio - EMBA OL),
1222,Inicio de asignatura (MKT-UNICA E-Commerce V2),
1223,Inicio de asignatura (CPL-UNI Matriz de Riesgo),
1224,Inicio de asignatura (BSG-UNICA Simulador BSG),
1225,Inicio de asignatura (MKT-UNICA Programmatic Advertising V2),
1226,Introducción a la Asignatura,
1227,Inicio de asignatura,
1228,Introducción a la asignatura - Digital Business Model,
1229,Inicio de asignatura (PDE (OL) UNICA- Estrategia de Negocios),
1230,Inicio de asignatura (PDE (OL) UNICA - Finanzas Estratégicas en Entornos Digitales),
1231,Introducción a la Asignatura (PDE (OL) UNICA - Implementación Estratégica y Monitoreo del Negocio con Herramientas Digitales),
1232,Inicio de asignatura (PDE (OL) UNICA - Entrepreneurship 3.0),
1233,Introducción a la asignatura,
1235,Bienvenido (CPL-UNI Rol de Compliance Officer. Canal de Denuncias V2),
1236,Bloque inicial,
1237,Bienvenido (EC-02-UNICA Modelo de E-Commerce V2),
1238,Bloque inicial,
1239,Introducción a la asignatura,
1240,Bienvenido (FBUS-01-UNICA Trabajo en Equipo),
1241,Introducción,
1242,Bienvenido (PPUBL-01-UNICA Políticas Públicas),
1243,Bienvenido (CPL-UNI Corrupción),
1244,Bienvenido (CPL-UNICA Ciberseguridad y Protección de los Datos),
1245,Introducción - International Taxing,
1246,Bienvenido (CPL-UNI Compliance Antitrust),
1247,Bienvenido (CPL-UNI Medioambiente y Cultura Corporativa Sostenible),
1248,Introducción a la asignatura,
1249,Introducción a la asignatura,
1250,Introducción a la asignatura,
1251,Introducción a la asignatura,
1252,Bienvenido (EC-03-UNICA Definiendo los Socios Clave del E-Commerce),
1253,Bienvenido (EC-04-UNICA E-Commerce en Acción),
1254,Bienvenido (CPL-UNICA Comunicación),
1255,Inicio de asignatura (ENTR-01-UNICA Por qué Emprender),
1256,Inicio de asignatura,
1257,Introducción,
1258,Inicio de asignatura (SDIG 02 -UNICA Marketing en Salud en la Era Digital),
1259,Inicio de asignatura (EC-01-UNICA E-Commerce. La Forma más Poderosa de hacer Negocios),
1260,Bienvenido (MKT-UNICA SEO),
1262,Bienvenido (MKT-UNICA Paid Media),
1263,Bienvenido (DGR - UNICA Diplomado en Gestión Comercial Remota),
1264,Introducción a la asignatura,
1265,Bienvenido (MKT-UNICA V4 Social Media),
1266,Bienvenido (MKT-UNICA Marketing Automation V2),
1267,Bienvenido (CPL-UNICA Lavado de Activos y Financiación del Terrorismo),
1268,Bienvenido (CPL-UNICA Liderazgo),
1269,Introducción,
1270,Bienvenido (CPL-UNICA Gobierno Corporativo),
1271,Bienvenido (PPUBL-03-UNICA Políticas Económicas y Desarrollo),
1272,Bienvenido (PPUBL-04-UNICA Democracia. Ciudadanía y Derechos),
1274,Bienvenido (DIRCOM-03-UNICA E-commerce. Herramienta Poderosa de Hacer Negocios),
1275,Bienvenido (DIRCOM-04-UNICA Gestión Comercial Remota),
1276,Introducción a la Asignatura,
1278,Bienvenido (LTI - UNICA Ciberseguridad y Protección de los Datos),
1279,?Bienvenido!,
1280,?Bienvenido!,
1282,?Bienvenido!,
1284,Bloque inicial,
1285,Bienvenido (MBA-UNICA - Negociación y Resolución de Conflictos V2),
1286,Bienvenido (MBA-UNICA - Dirección de Equipos de Alto Rendimiento V2),
1288,Bienvenido (MBA-UNICA - Finanzas y Economía V2),
1291,Bienvenido (DIRCOM-05-UNICA Liderazgo de Equipo Comercial de Forma Remota),
1292,Welcome(GMBA UNIQUE Enrollment Classroom (i)),
1297,Bienvenido (SDIG 06 - UNICA Gestión de los RRHH 4.0),
1298,Bienvenido (SDIG 08 - UNICA Los Negocios del Futuro o el Futuro de los Negocios),
1299,Introducción a la Asignatura (SDIG 08 - UNICA Los Negocios del Futuro o el Futuro de los Negocios),
1300,Introducción a la Asignatura (SDIG 06 - UNICA Gestión de los RRHH 4.0),
1301,ADEN University(OPMA UNICA Asignatura de Inicio),
1302,Introducción a la Asignatura (DIRCOM-05-UNICA Liderazgo de Equipo Comercial de Forma Remota),
1303,ADEN University(HRMA UNICA Asignatura de Inicio),
1304,ADEN University(MKTA UNICA Asignatura de Inicio),
1305,ADEN University(EMBA UNICA Asignatura de Inicio),
1306,ADEN University(GMBA UNIQUE Enrollment Classroom (i)),
1307,ADEN University(GMBA UNICA Asignatura de Inicio),
1308,Bloque inicial,
1309,Finanzas Corporativas: Introducción,Finanzas corporativas. Análisis de la situación. Estados contables. Su importancia y uso para la toma de decisiones. Cómo mejorar los resultados y la capacidad competitiva de la empresa mediante decisiones de inversión y financiamiento.  Apalancamiento financiero. 
1310,Bloque inicial,
1311,Introducción a la Asignatura (MBA-UNICA - Dirección de Equipos de Alto Rendimiento V2),
1312,Cambios de paradigmas,"Nuevo contexto competitivo. Análisis Estratégico en entornos con incertidumbre. El rol del entorno en el desempe?o del negocio. Los cambios de tendencias en las formas de competir , el más fácil acceso a los productos por parte de los clientes, el impacto de la transformación digital y/o la inestabilidad del resto de las variables del entorno macro y micro como fuentes de incertidumbre frente a la estrategia."
1313,Introducción a la Asignatura,
1314,Introducción a la Asignatura (MBA-UNICA - Negociación y Resolución de Conflictos V2),
1315,Contratos inteligentes,"Blockchain.  Centralización vs. Descentralización. Contratos inteligentes y derecho de la contratación. Tipos de Smart Contracts y aplicaciones reales: de arquitectura, jurídicos (ICOs, seguros). Retos jurídicos de los Smart Contracts. Protección de datos, uso de oráculos y validez técnica/ jurídica. Propiedad intelectual y su protección. "
1316,"Introducción a la Asignatura (LTI - UNICA Startups, Entrepreneurship y Fundraising Law)",
1317,El Mundo del Marketing,El mundo del Marketing. Introducción al marketing personal. El rol del marketing y del servicio. El modelo del plan de negocios. La importancia del marketing. El rol del Servicio. Aspectos diferenciales entre productos y servicios. El servicio es un camino: la calidad prestada y percibida. El sistema de servicios. Expectativa y percepción. Sistemas de Medición y Recuperación del Servicio.
1318,Introducción a la Asignatura (LTI - UNICA Gestión de la Propiedad Intelectual),
1319,?Bienvenido!,
1320,Introducción a la Asignatura (LTI - UNICA Ciberseguridad y Protección de los Datos),
1321,Estrategias orientadas a los clientes,La problemática de la innovación. Ejes de la nueva realidad. Tipos de innovación. Connect Innovación. Escenarios a futuro. Desafíos del innovador. 
1322,Introducción a la Asignatura,
1323,Introducción a la Asignatura,
1324,Introducción a la Asignatura,
1325,Semana 1 - Gobierno Corporativo (CPL-UNICA Gobierno Corporativo),
1326,Introducción a la Asignatura,
1328,Introducción a la Asignatura (CPL-UNICA Lavado de Activos y Financiación del Terrorismo),
1329,Introducción a la Asignatura (MKT-UNICA Marketing Automation V2),
1330,Tecnologías y gestión de calidad en el servicio de salud,"Tecnologías Emergentes y la Gestión de Calidad en el Servicio de Salud. Enfoques de calidad. Control y Gestión Total de la Calidad. Excelencia Médica. Nuevos Paradigmas enfocados en el “Nuevo Paciente”, empoderado y con nuevas expectativas. Medición de los gaps de Calidad en los Servicios de Salud. "
1331,Introducción a la Asignatura,
1332,Bloque inicial,
1333,Introducción a la Asignatura (MKT-UNICA SEO),
1334,Bloque inicial,
1335,Bloque inicial,
1336,E-Commerce: La forma más poderosa de hacer negocios,Visión estratégica de ventas online. Cifras generales. Definición y cifras generales. Casos notables. Proceso general (cadena de valor). Modelos de negocio. Las ventas online como un proceso estratégico.
1337,Los nuevos ecosistemas de consumo,"Aplicación de herramientas de Marketing y planificación estratégica al sector Salud. Los nuevos ecosistemas de consumo.  Omnicanalidad. Patient journey, puntos de contacto, y oportunidades de mejora. "
1338,Sistemas de información,"Sistemas de Información. Conceptos de sistemas de información integrados y centrados en el paciente. Definición de Sistema de Información en Salud (SIS): Información, personas, procesos y TIC. Dimensiones y Componentes (Clínicos y Organizacionales). "
1339,Modelos de emprendimientos modernos,Categorías: Startup. Spinoff. Social venture. Emprendimientos de Impacto. Intrapreneurs. Características de cada uno. Emprendimientos de impacto social
1340,Por qué emprender?,El arte de emprender. Introducción. Interacción con potenciales clientes. Estudio de casos.
1341,Introducción a la Asignatura (CPL-UNICA Comunicación),
1342,Semana 1 - Customer Journey y los modelos de negocio,
1343,Nuevos modelos de monetización digital,Variables en la monetización digital.  Social selling. El fullservice y sus herramientas de monetización. La logística como monetizador.  La nueva banca digital. La data en E-commerce.
1344,Armando un equipo,Las personas como recurso estratégico. Buscando co-funder. Las dimensiones del talento. La entrevista de selección.
1345,Gobierno corporativo en la empresa familiar,"Diferencias entre el Gobierno de una Empresa Familiar de
una que no lo es. Mejores Prácticas para el gobierno de la
Empresa Familiar.


"
1346,Valuación en empresas familiares,"?Qué significa valorar una compa?ía? ?Cómo se lleva a cabo el proceso de valuación de una empresa?
Tipos de métodos de valoración. Fusiones y adquisiciones."
1347,Semana 1 - Medioambiente (CPL-UNI Medioambiente y Cultura Corporativa Sostenible),
1348,El nuevo ámbito sanitario,"El nuevo ámbito sanitario. Diferentes niveles asistenciales. Mapa sanitario. Plan de salud. Análisis económico-financiero. Dirección de personas. Gestión logística. Nuevos Paradigmas en Gestión Sanitaria. Rol directivo sus tareas en las instituciones de servicios de salud, visión estratégica sobre el entorno y la empresa. "
1349,Introducción a la Asignatura (CPL-UNI Compliance Antitrust),
1350,Semana 1 - Derecho tributario internacional,
1351,Semana 1 -  Protección de datos personales (CPL-UNICA Ciberseguridad y Protección de los Datos),
1352,Simulador (MIND UNICA - Simulador BOSS),
1353,Introducción a la Asignatura (CPL-UNI Corrupción),
1354,Introducción a las politicas públicas,"Ideologías Políticas Contemporáneas. Definición de Políticas Públicas. Distintos enfoques para analizar las políticas públicas. Identificación y definición del problema. Agenda Setting. La agenda de Gobierno. La agenda social. La agenda sectorial. Implementación de la Política Pública. Enfoque top-down y bottom-up. Public Management: Definición de responsables, recursos y seguimiento. Evaluación de las Políticas Públicas. Políticas Sociales. Características de políticas sociales específicas y sustentables."
1355,Tecnologías emergentes en salud,Disrupción y digitalización en nuestro negocio. Nuevos Paradigmas en Salud: Convergencia tecnológica y pacientes empoderados. Expansión de las TIC en Salud Barreras y análisis FODA. Expansión de las TIC en Salud.
1356,Trabajo en equipo con la familia,Trabajo en equipo con familiares. La superposición de roles desempe?ados por la misma persona en la familia y en la empresa. Compatibilidad de personalidades. Competencias profesionales.
1357,Los conflictos en el trabajo con familiares,Los conflictos en la Empresa Familiar. Elementos para la resolución de conflictos. El conflicto como oportunidad. Víctima o protagonista. 
1358,El punto de partida para buscar el objetivo básico financiero,Fundamentos y herramientas de las finanzas corporativas. Introducción. Objetivos de las  finanzas. Enfoque económico: el estado de resultados. Enfoque patrimonial: el balance. Enfoque financiero: el flujo de efectivo.
1359,Una idea llevada al Negocio,Empezando a emprender. Conociendo el mercado antes de entrar. Administrando los recursos de la empresa. Validar la idea.
1360,El nuevo consumidor digital,Hacia el Digi-sumer. Tipos de consumidores digitales. Nuevos productos y modelos de E-commerce. La experiencia del consumidor en los canales digitales. Seguridad y pasarelas de pagos. 
1361,Definiciones y conceptos de la administración estratégica,"?Cómo se vinculan las finanzas con la estrategia organizacional? Retos de la administración estratégica financiera: rentabilidad, liquidez y riesgo. El Dise?o del plan. Aplicación de la Estrategia."
1362,"El mundo del capital para emprendedores, en cuál encajo yo","Capital. Definición, objetivos. Fuentes y tipos de Capital: FFF. Semilla. Aceleradoras e Incubadoras. Angels. VC. Etapas, necesidades y “matchs” de cada uno. Capital Gubernamental, Grants, Préstamos PAC. "
1363,Rol del Compliance Officer. Canal de Denuncias,"El Rol del Compliance Officer. Funciones. Competencias. Delegación. Responsabilidades. Habilidades (comunicación, transmisión del conocimiento, capacitación y concientización).
?Cómo proceder en la tramitación de denuncias? Reacción de la empresa ante denuncias recibidas en el canal ético. Mantenimiento de la confidencialidad. Tratamiento de las denuncias anónimas. Investigaciones internas."
1364,Semana 1 - Dirección de Proyectos y Metodologias Ágiles (PDE (OL) UNICA - Implementación Estratégica y Monitoreo del Negocio con Herramientas Digitales),
1365,Reto de Nivelación,
1366,Planificación estratégica,
1367,Análisis Estratégico en Entornos con incertidumbre,"El pensamiento estratégico involucra el pensamiento y reflexión sobre un panorama general, que incluye diversos actores y dinámicas actuando en un entorno competitivo cada vez más incierto y volátil. ?Cómo aprender a pensar estratégicamente?"
1368,Introducción a la Asignatura (BC-03-UNICA Resignificación del presente V2),
1369,Environmental Scanning - Parte I,Environmental scanning. Entornos VUCA. ADN del innovador. SCAMPER y otros. Pensamiento crítico.
1370,Simulador Business Strategy Game (BSG-UNICA Simulador BSG),
1371,Semana 1- Conociendo programática (MKT-UNICA Programmatic Advertising V2),
1372,Estrategias Orientadas a los clientes,"Enfoques mercadológicos hacia el futuro. Paradigmas del futuro. El valor del futuro, las limitaciones del presente y las oportunidades del pasado. Interpretación de escenarios temporales. Pensamiento estratégico a futuro. Modelo de los márgenes de la innovación. Escenario de los tres horizontes. Interpretación de los contextos del cliente del futuro. Estructuración de estrategias orientadas al futuro."
1373,Semana 1 - Introducción a E-Commerce (MKT-UNICA E-Commerce V2),
1374,"Semana 1 - Riesgo: Contexto, identificación, inventario y análisis (CPL-UNI Matriz de Riesgo)",
1375,Reglamentos (Asignatura de inicio - EMBA OL),
1376,Modelos actuales de innovación,"Formas de concebir la innovación en las organizaciones. Modelos de innovación. Técnicas y formatos para entender y construir alternativas de modelos de negocios. Pensamiento creativo en la organización. Dise?o de proyectos innovadores basados en generación e iteración del proyecto. De la racionalidad a la ideación, del prototipado a la experimentación y la evaluación. Casos y formas de implementación."
1377,Introducción a E-Commerce,Cómo montar mi negocio en internet. Claves de inicio. Variables de importancia en el proceso. El negocio y la propuesta de valor. Cómo funciona el proceso del e-commerce. Modelo de negocios y carrito de compras. Claves en la selección de la plataforma.
1378,Concepto y finalidad del método EFE® (FBUS -UNICA - Método EFE),Concepto y finalidad del método EFE®. Ciclo de vida de la Empresa Familiar según el método EFE®.
1379,Semana 1 - Estrategias orientadas a los clientes (TR-05-UNICA Innovación),
1380,Presupuestos de responsabilidad penal corporativa,La responsabilidad penal de la persona jurídica: origen y evolución. Presupuestos de la responsabilidad penal. Criterios de imputación y transferencia de la responsabilidad penal. Sanciones posibles a la persona jurídica.
1381,"Analitica Digital, conceptos claves y herramientas",Management training - Estrategia futbol total. ?Qué es el pensamiento estratégico? Parte I. ?Qué es el pensamiento estratégico? Parte II. ?Eres un pensador estratégico?. La cultura organizacional como base del pensamiento estratégico. El proceso creativo hacia la innovación. El pensamiento estratégico en el marco del planeamiento. 
1382,Finanzas Corporativas,
1383,Unidad 1 (2B OL 2020 TR - Comunicación Organizacional 2020),
1384,?Qué es el Mentoring ?,"El modelo de Mentoring. Diferencias entre
coaching, mentoring y coaunseling empresarial. La importancia del consejo. El timing o momentum para aconsejar."
1385,Semana 1: La contabilidad y las finanzas para la toma de decisiones (NIV-PRESENCIAL - UNICA - Finanzas para No Financieros),
1386,Semana 1 - El plan de negocios (TR-PRESENCIAL - UNICA - Business Plan),
1387,El plan de negocios,"Estructura del business plan. Resumen ejecutivo y descripción de la compa?ía. Análisis del mercado. Dolor, oportunidad y remedio. Equipo de proyectos y presentaciones."
1388,Semana 1: SEO (DBM-12-UNICA Digital Marketing Advance),
1389,Marketing Estratégico,"Nuevos ecosistemas de consumo. Administración de la experiencia del cliente. Los segmentos, avatars y stakeholders en el CX. El entorno competitivo. "
1390,Bloque 1 - Tecnologias que impulsan el negocio.  Big data operacional (DBM-03-UNICA Procesos Operacionales y Tecnología V2),
1391,Semana 1 - Introducción al BI (DBM-14-UNICA Business Intelligence),
1392,Bloque I - Transformación Digital en las Personas (DBM-02-UNICA RRHH. Talento y cultura digital. Agile Management V2),
1393,"Analítica Digital, conceptos claves y herramientas","Por qué medir. Elementos claves de la Analítica. El Universo de los datos, algunos conceptos claves para tener en mente. Data Warehousing & BI. Introducción y modelos: Plan de medición de datos. Metadata. WebTrends Digital Marketing Maturity Model (DM3). Web Analytics. "
1394,Semana 1: Finanzas Corporativas: Introducción (MBA-UNICA - Finanzas y Economía),
1395,Semana 1 - Gestión estratégica del capital humano (MBA-UNICA - Gestión Organizacional y RRHH),
1396,Dirección estratégica,"Las claves del Pensamiento Estratégico. Metodología para el abordaje estratégico. La evaluación de los diferentes contextos. El análisis de la industria y el ambiente competitivo. El encuadre estratégico de la visión, misión y valores. Determinación de objetivos. La selección de las estrategias básicas del negocio. Tipos de Estrategias. Del Dise?o Estratégico a la Ejecución: aspectos claves para una implementación efectiva. Los nuevos modelos de negocios en entornos analógicos / digitales."
1397,Semana 1 - Comunicación Interpersonal (MBA-UNICA - Negociación y Resolución de Conflictos),
1398,Semana 1: fundamentos del Coaching (MBA-UNICA - Fundamentos del Coaching Ejecutivo),
1399,Semana 1: Gestionando la diversidad (MBA-UNICA - Dirección de Equipos de Alto Rendimiento),
1401,Venta Digital. Generación de Leads,?Cómo usar internet para vender?. El objetivo de hacer marketing. ?Qué es Lead Generation?. Orígenes del Lead Generation. Cualificación de Lead vs. calidad. Lead Scoring y Lead Grading. Lead Nurturing. Generando Leads para nuestras empresas.
1402,Semana 1 y 2 - Antecedentes de Compliance (CPL-UNI Antecedentes de Compliance),
1403,Semana 1 y 2 - Derecho Penal de la Persona Juridica (CPL-UNI Derecho Penal de la Persona Jurídica),
1404,Semana 1 - Programa de Compliance (CPL-UNI Programa de compliance. Elementos. Estándares internacionales. Auditorías),
1405,Formulación y Evaluación de Proyectos,"Introducción. ?Qué es un proyecto? Análisis económico financiero de proyectos de inversión. Etapas del estudio de proyectos. ?Cuál es el ciclo y las etapas de un proyecto? Estudio técnico de mercado, organizacional, legal y financiero. Costos de inversión, operación e ingresos. Conceptos económicos, contables y financieros. Costos evitables e inevitables."
